area,bedrooms,bathrooms,floors,parking,age,location_score,price
3219,1,1,3,2,7,4,12982816
3616,1,1,3,3,1,1,13914246
1495,2,2,3,1,22,9,8292398
1502,4,5,1,1,22,7,8633778
1738,2,2,2,0,2,7,8854414
2070,3,4,1,3,17,2,9311922
922,5,6,3,2,18,4,6629933
787,6,6,2,0,27,4,5780407
2156,3,4,3,2,5,6,11268528
1458,6,6,3,0,19,3,8803086
3586,2,2,2,3,8,9,16011283
3404,3,3,1,0,25,6,14184651
1696,1,1,3,2,6,8,8960850
3233,4,4,2,1,7,9,15950658
1676,6,6,3,3,11,4,10021051
2687,4,4,1,0,4,3,12287166
3042,1,2,2,3,16,5,12837099
647,6,6,3,2,24,6,6271470
1802,4,4,2,0,30,5,8881902
3720,2,2,3,2,26,9,15788573
1226,3,3,3,0,19,6,7193340
679,1,2,2,1,1,4,4731416
922,1,2,1,1,4,8,6293510
1276,3,4,1,1,22,5,6904373
3351,6,6,2,3,3,4,16144112
862,3,3,3,1,18,4,5054540
890,6,6,1,0,28,1,5441479
890,5,5,2,3,6,9,8063739
3562,5,6,1,3,25,7,16266659
986,1,2,2,3,13,8,5987802
3358,6,6,1,3,23,6,15597576
1618,2,2,3,3,4,7,8895401
1740,4,4,1,3,25,9,9592664
807,6,6,1,1,5,7,7833731
2571,2,3,1,1,12,1,10327886
1686,4,5,2,3,4,4,9552120
1491,1,1,3,2,1,1,6778448
2659,5,5,1,0,27,3,11398349
3037,1,1,2,0,30,10,12687675
2971,5,5,3,0,13,10,15621183
2741,3,4,1,2,7,5,12728511
1136,6,6,2,2,29,2,6525767
2477,5,5,1,1,16,5,11868390
2029,1,1,2,2,5,8,10171105
3481,3,3,3,2,29,2,13514314
1683,1,1,3,1,8,5,7791361
3539,3,3,3,2,16,8,15859819
808,1,2,2,0,0,6,5165174
3209,3,3,3,3,17,7,14839653
639,1,1,3,1,17,1,2943651
2985,5,5,2,1,1,5,14639864
3860,1,2,1,1,21,2,14190858
3795,5,6,3,1,29,4,16242895
3876,2,3,1,1,23,6,15727712
3885,6,6,2,1,25,2,16598624
758,4,4,1,3,11,5,5851651
1513,1,1,2,2,8,2,6468183
2038,6,6,3,2,30,1,9653944
1669,2,3,1,0,19,7,8243979
3584,3,4,3,0,12,10,16613312
1643,1,2,1,1,11,7,7783872
3320,3,4,3,0,23,5,14331756
1866,6,6,2,3,22,5,10782343
1121,2,3,3,3,21,3,6080250
1832,4,4,2,2,6,7,10459902
2504,4,5,3,1,16,8,12751934
3298,1,2,3,2,2,4,13838498
1520,2,2,1,0,7,8,7966365
2465,4,4,3,3,15,7,12483336
1204,6,6,1,3,7,3,8377118
2502,1,1,1,3,4,8,11803932
2889,5,6,2,3,26,9,14789074
1251,6,6,2,2,24,4,7909282
3736,5,6,3,1,8,8,17787247
3522,3,3,2,2,10,9,15961491
1166,2,2,2,1,22,4,5368348
2299,4,5,3,3,13,1,10643381
2320,4,4,3,3,15,1,10588845
1823,4,5,3,1,15,4,9516693
2385,4,4,2,2,21,7,11630561
2514,2,2,2,0,2,7,11611291
2491,2,2,2,3,10,4,11095286
1938,3,4,2,3,8,2,9456152
679,6,6,2,1,20,2,5218713
3689,1,1,1,0,19,3,13501632
1117,4,4,3,1,14,5,7236314
1287,5,5,1,2,3,10,9461425
1877,5,6,2,1,2,10,12044146
1017,6,6,3,0,25,10,8252564
2022,5,6,3,2,2,9,12654806
651,4,5,1,3,30,6,5410571
3497,2,3,1,2,19,9,15486483
2504,4,5,2,1,26,2,10816477
2446,2,3,3,3,10,1,10579317
1931,2,3,1,2,25,5,8615371
1745,5,6,3,0,16,4,9407271
1588,6,6,2,1,22,8,10292663
2435,1,1,2,1,12,4,9963580
3319,5,6,2,2,13,9,16593359
2041,6,6,2,2,8,4,11150016
3554,2,3,1,1,6,4,14856719
1732,6,6,1,1,9,4,10030411
1334,3,3,3,1,8,1,6406174
2866,3,3,3,3,3,1,12409151
2522,4,5,2,1,30,1,10441742
2556,1,1,2,3,2,10,12222213
1221,2,3,1,1,3,9,7989890
3083,5,5,3,3,14,8,15492297
3010,4,5,3,0,19,2,12842881
3162,2,3,3,0,5,4,13399256
2860,1,1,1,3,14,10,13092738
1792,1,1,2,2,22,8,8166637
3415,2,3,3,1,13,2,13953515
1520,6,6,2,1,2,1,8763982
3846,3,4,2,0,14,5,16273060
1715,5,6,2,0,19,1,8645514
3608,3,4,1,0,7,10,16419753
3732,6,6,3,0,24,3,16495355
2725,6,6,2,1,18,7,14183111
973,4,5,2,2,10,2,6074137
1950,4,5,2,3,26,9,10573479
2462,1,2,2,2,3,7,11686593
3978,1,2,2,0,6,9,17012353
3150,4,5,1,1,8,9,15242377
1779,4,5,1,0,20,10,10227421
3507,2,3,3,0,17,7,14792236
1520,1,2,1,1,15,5,7153590
3489,3,4,2,3,7,8,16509543
1192,4,4,3,1,27,2,6131666
3764,4,5,3,2,26,1,15230578
3573,3,4,1,3,17,8,16037388
1961,5,6,2,2,27,4,9933905
2942,4,4,2,0,10,8,14296749
2181,6,6,2,0,4,9,13071621
1011,4,4,3,3,0,3,7168393
3281,2,2,2,2,10,10,15200291
3261,1,2,3,3,30,6,13375150
2816,1,1,1,2,7,2,11081052
1003,6,6,2,1,22,5,7010853
788,3,3,2,2,11,7,5920640
1600,5,6,3,1,5,3,9182804
3096,4,4,2,1,7,8,14922314
2482,3,3,2,2,21,9,11962649
902,4,5,3,2,20,7,6919246
2471,3,3,2,3,3,4,11728389
2942,3,4,3,2,0,7,14384813
633,5,5,3,3,26,5,5616796
3086,3,3,3,1,19,5,13184423
3173,1,1,2,3,1,10,14748084
3599,2,2,2,2,23,7,14810671
1422,2,3,3,2,26,3,6506452
3977,4,5,3,2,25,2,16460581
908,2,2,3,3,30,9,6061542
969,4,4,2,0,14,6,6606396
2994,4,5,1,1,15,1,12867678
1943,5,5,3,0,20,8,10967369
3259,4,4,1,0,30,1,12625649
2617,1,1,1,1,12,8,11518533
3346,6,6,3,1,28,7,15694831
2604,5,6,2,0,22,6,12661823
2416,4,4,2,0,21,6,11686913
3241,3,3,2,2,6,2,13780305
975,6,6,3,0,1,6,8277900
1115,5,5,1,1,18,4,6876816
1945,2,2,2,1,4,9,10260329
3870,2,2,3,0,4,1,15160644
3835,2,3,1,1,8,1,14635415
3638,4,4,3,0,15,8,16662625
2702,5,5,2,1,30,10,13402471
3578,6,6,2,0,1,8,17904126
2346,6,6,2,3,2,2,12268758
3091,2,2,1,2,19,10,14183493
3516,3,4,3,2,14,9,16497096
1006,6,6,3,1,13,8,8490592
2294,3,4,2,3,23,2,9936730
2348,3,4,2,1,21,8,11248394
973,1,1,2,0,23,6,4621935
2878,1,2,3,0,13,6,12346481
3553,1,2,3,2,11,2,14077560
1471,2,3,1,0,11,9,8393915
1070,3,3,2,0,19,5,5765359
1338,3,4,2,2,0,3,7483210
2919,6,6,1,1,23,1,12592714
3656,5,5,2,3,14,6,16701055
2115,3,4,3,0,28,1,8545637
1244,5,5,3,0,8,8,9128611
2589,5,6,2,2,6,9,14090846
2013,4,4,2,3,16,5,10003123
1503,4,4,1,1,9,4,7994401
3730,3,4,2,0,0,8,17206574
1319,2,3,3,1,16,9,8047871
895,4,4,2,0,14,2,5400767
2958,4,5,3,3,9,2,13567707
685,3,3,3,3,26,6,4899910
2388,1,1,2,3,16,2,9432991
1870,6,6,1,2,24,3,9465089
2690,6,6,3,1,28,6,13413154
3579,6,6,1,0,4,5,16673354
1310,5,5,3,0,5,8,9521490
3690,5,6,3,2,27,6,16543290
2401,1,2,2,2,25,5,9612400
2041,5,5,2,3,14,1,9693153
2110,3,3,3,0,19,10,11306699
2174,4,4,2,1,10,10,12307733
2653,2,2,2,0,25,6,10873925
2666,6,6,1,1,22,8,13861767
2746,5,5,2,2,29,5,12807235
2274,3,3,3,2,2,6,11328096
2885,6,6,2,2,23,10,15035177
1965,1,1,2,2,30,7,8262715
3037,6,6,2,3,20,6,14763501
3344,6,6,3,3,16,6,16033116
2085,3,3,1,2,30,8,9848832
1527,2,2,1,2,27,2,6346851
3757,5,5,3,2,28,10,17516914
3046,4,4,1,1,26,10,14244580
3553,4,4,2,2,21,4,15261276
3100,3,4,1,1,9,8,14343440
2106,6,6,2,2,24,7,11888335
2760,4,4,1,1,27,5,11834714
3226,4,5,3,0,22,9,15141734
1767,1,1,2,3,28,9,8269006
2391,1,1,2,2,29,1,8593550
818,4,5,1,3,2,6,6868445
715,3,3,3,2,25,3,4246783
756,3,4,3,1,24,8,6106392
3120,1,1,1,2,6,3,12555462
3578,5,6,1,2,7,5,16370767
795,2,3,3,3,2,2,5376608
3044,5,5,3,1,22,3,13579420
2358,1,2,1,3,5,2,9951913
2077,1,1,2,3,1,7,10170935
1638,6,6,2,0,11,4,9401699
3760,5,6,1,0,11,9,17874992
3932,6,6,3,3,22,8,18523132
3923,2,2,3,3,1,5,16601883
779,2,2,2,2,16,7,5605908
2539,3,3,3,1,9,6,11826626
3285,3,4,1,2,13,7,14938597
2183,3,3,2,3,11,9,11530176
3881,1,2,1,3,19,3,14995471
1803,3,3,1,2,21,5,8591884
2426,5,6,1,3,11,8,12945412
3577,3,4,2,0,2,7,16270459
2701,6,6,1,1,27,10,14282957
742,2,2,1,2,11,7,5551799
732,5,5,3,3,30,6,6202084
2418,1,1,3,2,12,6,10625227
1622,1,1,3,1,15,9,8482785
2900,1,2,2,3,6,10,13709449
